"","x"
"Enterocytes_wtnormal","#F8766D"
"Tuft_wtnormal","#EC823C"
"Goblets_wtnormal","#DD8D00"
"Paneth_wtnormal","#CA9700"
"TA_wtnormal","#B3A000"
"Stem_wtnormal","#97A900"
"TA_DKO_wtnormal","#71B000"
"Enteroendocrine_wtnormal","#2FB600"
"Tumor_wtnormal","#00BB4B"
"Goblets_dkonormal","#00BF76"
"Tuft_dkonormal","#00C098"
"TA_DKO_dkonormal","#00C0B7"
"Enterocytes_dkonormal","#00BDD1"
"Paneth_dkonormal","#00B7E8"
"Enteroendocrine_dkonormal","#00AEFA"
"Stem_dkonormal","#3DA1FF"
"Tumor_dkonormal","#8F91FF"
"Tumor_dkot","#BE80FF"
"Goblets_dkot","#DE71F9"
"Enteroendocrine_dkot","#F265E7"
"Tuft_dkot","#FE61CF"
"Enterocytes_dkot","#FF64B3"
"TA_DKO_dkot","#FF6C92"
